|soc_code|soc_title|soc_direct_match_title|illustrative_example
8|11-1011|Chief Executives|Admiral|x
9|11-1011|Chief Executives|CEO|
10|11-1011|Chief Executives|Chief Executive Officer|
11|11-1011|Chief Executives|Chief Financial Officer|x
12|11-1011|Chief Executives|Chief Operating Officer|x
13|11-1011|Chief Executives|Chief Sustainability Officer|
14|11-1011|Chief Executives|Commissioner of Internal Revenue|
15|11-1011|Chief Executives|COO|
16|11-1011|Chief Executives|County Commissioner|
17|11-1011|Chief Executives|Government Service Executive|
18|11-1011|Chief Executives|Governor|x
19|11-1011|Chief Executives|Mayor|
20|11-1011|Chief Executives|School Superintendent|x
21|11-1011|Chief Executives|University President|x
22|11-1021|General and Operations Managers|Department Store General Manager|
23|11-1021|General and Operations Managers|Department Store Manager|x
24|11-1021|General and Operations Managers|General Manager|
25|11-1021|General and Operations Managers|General Superintendent|x
26|11-1021|General and Operations Managers|Manufacturing Operations Manager|
27|11-1021|General and Operations Managers|Operational Risk Manager|x
28|11-1021|General and Operations Managers|Operations Manager|
29|11-1021|General and Operations Managers|Radio Station Manager|x
30|11-1021|General and Operations Managers|Television Store Manager|
31|11-1031|Legislators|City Alderman|
32|11-1031|Legislators|City Council Member|x
33|11-1031|Legislators|Congressional Representative|
34|11-1031|Legislators|Councilor|
35|11-1031|Legislators|Legislator|
36|11-1031|Legislators|Member of Congress|
37|11-1031|Legislators|Selectman|
38|11-1031|Legislators|Senator|x
39|11-1031|Legislators|Tribal Council Member|x
40|11-2011|Advertising and Promotions Managers|Advertising Director|x
41|11-2011|Advertising and Promotions Managers|Advertising Executive|x
42|11-2011|Advertising and Promotions Managers|Advertising Manager|
43|11-2011|Advertising and Promotions Managers|Classified Advertising Manager|
44|11-2011|Advertising and Promotions Managers|Promotions Director|x
45|11-2011|Advertising and Promotions Managers|Promotions Manager|
46|11-2011|Advertising and Promotions Managers|VP Advertising|
47|11-2011|Advertising and Promotions Managers|VP Promotions|
48|11-2021|Marketing Managers|Internet Marketing Manager|x
49|11-2021|Marketing Managers|Marketing Administrator|x
50|11-2021|Marketing Managers|Marketing Director|x
51|11-2021|Marketing Managers|VP Marketing|
52|11-2022|Sales Managers|District Sales Manager|x
53|11-2022|Sales Managers|E-Commerce Director|
54|11-2022|Sales Managers|Export Manager|x
55|11-2022|Sales Managers|Regional Sales Manager|x
56|11-2022|Sales Managers|Sales Account Manager|
57|11-2022|Sales Managers|Sales Director|x
58|11-2022|Sales Managers|Territory Sales Manager|
59|11-2032|Public Relations Managers|Communication Manager|
60|11-2032|Public Relations Managers|Public Affairs Director|x
61|11-2032|Public Relations Managers|Public Information Director|
62|11-2032|Public Relations Managers|Public Information Relations Manager|
63|11-2032|Public Relations Managers|Public Relations Director|
64|11-2032|Public Relations Managers|Public Relations Manager|
65|11-2032|Public Relations Managers|Publicity Director|x
66|11-2033|Fundraising Managers|Donor Relations Manager|x
67|11-2033|Fundraising Managers|Foundation Director|x
68|11-2033|Fundraising Managers|Funding Coordinator|x
69|11-2033|Fundraising Managers|Fundraising Director|x
70|11-3012|Administrative Services Managers|Business Office Manager|
71|11-3012|Administrative Services Managers|Business Unit Manager|
72|11-3012|Administrative Services Managers|Records and Information Manager|x
73|11-3012|Administrative Services Managers|Records Management Director|x
74|11-3012|Administrative Services Managers|University Registrar|x
75|11-3013|Facilities Managers|Conference Center Manager|x
76|11-3013|Facilities Managers|Director of University Housing|x
77|11-3013|Facilities Managers|Stadium Manager|x
78|11-3021|Computer and Information Systems Managers|Application Development Director|
79|11-3021|Computer and Information Systems Managers|Chief Technology Officer|x
80|11-3021|Computer and Information Systems Managers|Computer Operations Manager|
81|11-3021|Computer and Information Systems Managers|Computer Security Manager|
82|11-3021|Computer and Information Systems Managers|Data Operations Director|
83|11-3021|Computer and Information Systems Managers|Data Processing Manager|
84|11-3021|Computer and Information Systems Managers|Information Systems Director|
85|11-3021|Computer and Information Systems Managers|Information Systems Manager|
86|11-3021|Computer and Information Systems Managers|Information Technology Director|
87|11-3021|Computer and Information Systems Managers|Information Technology Systems Director|x
88|11-3021|Computer and Information Systems Managers|Internet Technology Manager|
89|11-3021|Computer and Information Systems Managers|Management Information Systems Director|x
90|11-3021|Computer and Information Systems Managers|MIS Director|
91|11-3031|Financial Managers|Bank Branch Manager|x
92|11-3031|Financial Managers|Banking Center Manager|
